Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Caroline County Public Schools",05,340
"2023 - 2024",DIV,"Caroline County Public Schools",06,330
"2023 - 2024",DIV,"Caroline County Public Schools",07,326
"2023 - 2024",DIV,"Caroline County Public Schools",08,344
"2023 - 2024",DIV,"Caroline County Public Schools",09,368
"2023 - 2024",DIV,"Caroline County Public Schools",10,328
"2023 - 2024",DIV,"Caroline County Public Schools",11,284
"2023 - 2024",DIV,"Caroline County Public Schools",12,298
"2023 - 2024",DIV,"Carroll County Public Schools",,3444
"2023 - 2024",DIV,"Carroll County Public Schools",PK,160
"2023 - 2024",DIV,"Carroll County Public Schools",KG,247
"2023 - 2024",DIV,"Carroll County Public Schools",01,231
"2023 - 2024",DIV,"Carroll County Public Schools",02,242
"2023 - 2024",DIV,"Carroll County Public Schools",03,233
"2023 - 2024",DIV,"Carroll County Public Schools",04,265
"2023 - 2024",DIV,"Carroll County Public Schools",05,255
"2023 - 2024",DIV,"Carroll County Public Schools",06,260
"2023 - 2024",DIV,"Carroll County Public Schools",07,249
"2023 - 2024",DIV,"Carroll County Public Schools",08,243
"2023 - 2024",DIV,"Carroll County Public Schools",09,284
"2023 - 2024",DIV,"Carroll County Public Schools",10,279
"2023 - 2024",DIV,"Carroll County Public Schools",11,241
"2023 - 2024",DIV,"Carroll County Public Schools",12,255
"2023 - 2024",DIV,"Charles City County Public Schools",,530
"2023 - 2024",DIV,"Charles City County Public Schools",PK,32
"2023 - 2024",DIV,"Charles City County Public Schools",KG,59
"2023 - 2024",DIV,"Charles City County Public Schools",01,32
"2023 - 2024",DIV,"Charles City County Public Schools",02,43
"2023 - 2024",DIV,"Charles City County Public Schools",03,37
"2023 - 2024",DIV,"Charles City County Public Schools",04,39
"2023 - 2024",DIV,"Charles City County Public Schools",05,29
"2023 - 2024",DIV,"Charles City County Public Schools",06,44
"2023 - 2024",DIV,"Charles City County Public Schools",07,33
"2023 - 2024",DIV,"Charles City County Public Schools",08,35
"2023 - 2024",DIV,"Charles City County Public Schools",09,44
"2023 - 2024",DIV,"Charles City County Public Schools",10,39
"2023 - 2024",DIV,"Charles City County Public Schools",11,28
"2023 - 2024",DIV,"Charles City County Public Schools",12,36
"2023 - 2024",DIV,"Charlotte County Public Schools",,1706
"2023 - 2024",DIV,"Charlotte County Public Schools",PG,1
"2023 - 2024",DIV,"Charlotte County Public Schools",PK,82
"2023 - 2024",DIV,"Charlotte County Public Schools",KG,126
"2023 - 2024",DIV,"Charlotte County Public Schools",01,143
"2023 - 2024",DIV,"Charlotte County Public Schools",02,130
"2023 - 2024",DIV,"Charlotte County Public Schools",03,133
"2023 - 2024",DIV,"Charlotte County Public Schools",04,119
"2023 - 2024",DIV,"Charlotte County Public Schools",05,110
"2023 - 2024",DIV,"Charlotte County Public Schools",06,148
"2023 - 2024",DIV,"Charlotte County Public Schools",07,119
