Enrollment
10/12/2024

Year,Level,Division,Grade,Count
"2023 - 2024",DIV,"Washington County Public Schools",04,450
"2023 - 2024",DIV,"Washington County Public Schools",05,494
"2023 - 2024",DIV,"Washington County Public Schools",06,511
"2023 - 2024",DIV,"Washington County Public Schools",07,455
"2023 - 2024",DIV,"Washington County Public Schools",08,521
"2023 - 2024",DIV,"Washington County Public Schools",09,540
"2023 - 2024",DIV,"Washington County Public Schools",10,540
"2023 - 2024",DIV,"Washington County Public Schools",11,567
"2023 - 2024",DIV,"Washington County Public Schools",12,524
"2023 - 2024",DIV,"Waynesboro City Public Schools",,3060
"2023 - 2024",DIV,"Waynesboro City Public Schools",PK,195
"2023 - 2024",DIV,"Waynesboro City Public Schools",KG,209
"2023 - 2024",DIV,"Waynesboro City Public Schools",01,235
"2023 - 2024",DIV,"Waynesboro City Public Schools",02,233
"2023 - 2024",DIV,"Waynesboro City Public Schools",03,206
"2023 - 2024",DIV,"Waynesboro City Public Schools",04,245
"2023 - 2024",DIV,"Waynesboro City Public Schools",05,196
"2023 - 2024",DIV,"Waynesboro City Public Schools",06,202
"2023 - 2024",DIV,"Waynesboro City Public Schools",07,212
"2023 - 2024",DIV,"Waynesboro City Public Schools",08,210
"2023 - 2024",DIV,"Waynesboro City Public Schools",09,246
"2023 - 2024",DIV,"Waynesboro City Public Schools",10,259
"2023 - 2024",DIV,"Waynesboro City Public Schools",11,215
"2023 - 2024",DIV,"Waynesboro City Public Schools",12,197
"2023 - 2024",DIV,"West Point Public Schools",,840
"2023 - 2024",DIV,"West Point Public Schools",PK,29
"2023 - 2024",DIV,"West Point Public Schools",KG,63
"2023 - 2024",DIV,"West Point Public Schools",01,59
"2023 - 2024",DIV,"West Point Public Schools",02,66
"2023 - 2024",DIV,"West Point Public Schools",03,55
"2023 - 2024",DIV,"West Point Public Schools",04,63
"2023 - 2024",DIV,"West Point Public Schools",05,54
"2023 - 2024",DIV,"West Point Public Schools",06,72
"2023 - 2024",DIV,"West Point Public Schools",07,63
"2023 - 2024",DIV,"West Point Public Schools",08,54
"2023 - 2024",DIV,"West Point Public Schools",09,49
"2023 - 2024",DIV,"West Point Public Schools",10,78
"2023 - 2024",DIV,"West Point Public Schools",11,61
"2023 - 2024",DIV,"West Point Public Schools",12,74
"2023 - 2024",DIV,"Westmoreland County Public Schools",,1579
"2023 - 2024",DIV,"Westmoreland County Public Schools",PK,72
"2023 - 2024",DIV,"Westmoreland County Public Schools",KG,95
"2023 - 2024",DIV,"Westmoreland County Public Schools",01,132
"2023 - 2024",DIV,"Westmoreland County Public Schools",02,135
"2023 - 2024",DIV,"Westmoreland County Public Schools",03,112
"2023 - 2024",DIV,"Westmoreland County Public Schools",04,95
"2023 - 2024",DIV,"Westmoreland County Public Schools",05,108
"2023 - 2024",DIV,"Westmoreland County Public Schools",06,119
"2023 - 2024",DIV,"Westmoreland County Public Schools",07,104
"2023 - 2024",DIV,"Westmoreland County Public Schools",08,113
"2023 - 2024",DIV,"Westmoreland County Public Schools",09,120
"2023 - 2024",DIV,"Westmoreland County Public Schools",10,130
"2023 - 2024",DIV,"Westmoreland County Public Schools",11,129
"2023 - 2024",DIV,"Westmoreland County Public Schools",12,115
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",,11694
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",PK,370
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",KG,733
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",01,824
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",02,850
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",03,780
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",04,834
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",05,832
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",06,835
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",07,961
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",08,896
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",09,957
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",10,992
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",11,928
"2023 - 2024",DIV,"Williamsburg-James City County Public Schools",12,902
"2023 - 2024",DIV,"Winchester City Public Schools",,4236
"2023 - 2024",DIV,"Winchester City Public Schools",PK,197
"2023 - 2024",DIV,"Winchester City Public Schools",KG,281
"2023 - 2024",DIV,"Winchester City Public Schools",01,315
"2023 - 2024",DIV,"Winchester City Public Schools",02,324
"2023 - 2024",DIV,"Winchester City Public Schools",03,286
"2023 - 2024",DIV,"Winchester City Public Schools",04,289
"2023 - 2024",DIV,"Winchester City Public Schools",05,286
"2023 - 2024",DIV,"Winchester City Public Schools",06,314
"2023 - 2024",DIV,"Winchester City Public Schools",07,295
"2023 - 2024",DIV,"Winchester City Public Schools",08,294
"2023 - 2024",DIV,"Winchester City Public Schools",09,365
"2023 - 2024",DIV,"Winchester City Public Schools",10,356
"2023 - 2024",DIV,"Winchester City Public Schools",11,331
"2023 - 2024",DIV,"Winchester City Public Schools",12,303
"2023 - 2024",DIV,"Wise County Public Schools",,5883
"2023 - 2024",DIV,"Wise County Public Schools",PK,392
"2023 - 2024",DIV,"Wise County Public Schools",KG,444
"2023 - 2024",DIV,"Wise County Public Schools",01,487
"2023 - 2024",DIV,"Wise County Public Schools",02,480
"2023 - 2024",DIV,"Wise County Public Schools",03,388
"2023 - 2024",DIV,"Wise County Public Schools",04,412
"2023 - 2024",DIV,"Wise County Public Schools",05,407
"2023 - 2024",DIV,"Wise County Public Schools",06,393
"2023 - 2024",DIV,"Wise County Public Schools",07,401
"2023 - 2024",DIV,"Wise County Public Schools",08,455
"2023 - 2024",DIV,"Wise County Public Schools",09,419
"2023 - 2024",DIV,"Wise County Public Schools",10,415
"2023 - 2024",DIV,"Wise County Public Schools",11,432
"2023 - 2024",DIV,"Wise County Public Schools",12,358
"2023 - 2024",DIV,"Wythe County Public Schools",,3803
"2023 - 2024",DIV,"Wythe County Public Schools",PK,103
"2023 - 2024",DIV,"Wythe County Public Schools",KG,269
"2023 - 2024",DIV,"Wythe County Public Schools",01,289
"2023 - 2024",DIV,"Wythe County Public Schools",02,276
"2023 - 2024",DIV,"Wythe County Public Schools",03,271
"2023 - 2024",DIV,"Wythe County Public Schools",04,271
"2023 - 2024",DIV,"Wythe County Public Schools",05,293
"2023 - 2024",DIV,"Wythe County Public Schools",06,282
"2023 - 2024",DIV,"Wythe County Public Schools",07,277
"2023 - 2024",DIV,"Wythe County Public Schools",08,281
"2023 - 2024",DIV,"Wythe County Public Schools",09,306
"2023 - 2024",DIV,"Wythe County Public Schools",10,291
"2023 - 2024",DIV,"Wythe County Public Schools",11,283
"2023 - 2024",DIV,"Wythe County Public Schools",12,311
"2023 - 2024",DIV,"York County Public Schools",,13110
"2023 - 2024",DIV,"York County Public Schools",PK,119
"2023 - 2024",DIV,"York County Public Schools",KG,806
"2023 - 2024",DIV,"York County Public Schools",01,869
"2023 - 2024",DIV,"York County Public Schools",02,1056
"2023 - 2024",DIV,"York County Public Schools",03,943
"2023 - 2024",DIV,"York County Public Schools",04,1073
"2023 - 2024",DIV,"York County Public Schools",05,985
"2023 - 2024",DIV,"York County Public Schools",06,1049
"2023 - 2024",DIV,"York County Public Schools",07,1066
"2023 - 2024",DIV,"York County Public Schools",08,988
"2023 - 2024",DIV,"York County Public Schools",09,1053
"2023 - 2024",DIV,"York County Public Schools",10,1084
"2023 - 2024",DIV,"York County Public Schools",11,1039
"2023 - 2024",DIV,"York County Public Schools",12,980
