Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
2019,0500000US51033,Caroline County,Virginia,51,33,65103,3156
2019,0500000US51073,Gloucester County,Virginia,51,73,70537,5663
2019,0500000US51141,Patrick County,Virginia,51,141,43073,3723
2019,0500000US51145,Powhatan County,Virginia,51,145,89090,7595
2019,0500000US51171,Shenandoah County,Virginia,51,171,57252,2919
2019,0500000US51061,Fauquier County,Virginia,51,61,100783,4850
2019,0500000US51790,Staunton city,Virginia,51,790,52611,2847
2019,0500000US51065,Fluvanna County,Virginia,51,65,76873,3118
2019,0500000US51750,Radford city,Virginia,51,750,36297,4415
2019,0500000US51840,Winchester city,Virginia,51,840,58818,4511
2019,0500000US51001,Accomack County,Virginia,51,1,46073,4026
2019,0500000US51045,Craig County,Virginia,51,45,55708,10950
2019,0500000US51063,Floyd County,Virginia,51,63,51521,4541
2019,0500000US51071,Giles County,Virginia,51,71,54520,2728
2019,0500000US51077,Grayson County,Virginia,51,77,36544,3204
2019,0500000US51135,Nottoway County,Virginia,51,135,45535,3015
2019,0500000US51157,Rappahannock County,Virginia,51,157,74284,4172
2019,0500000US51036,Charles City County,Virginia,51,36,57198,5222
2019,0500000US51047,Culpeper County,Virginia,51,47,77935,4199
2019,0500000US51053,Dinwiddie County,Virginia,51,53,60346,3637
2019,0500000US51079,Greene County,Virginia,51,79,67398,5919
2019,0500000US51085,Hanover County,Virginia,51,85,89390,2017
2019,0500000US51111,Lunenburg County,Virginia,51,111,44303,3641
2019,0500000US51137,Orange County,Virginia,51,137,71548,4910
2019,0500000US51595,Emporia city,Virginia,51,595,27063,5323
2019,0500000US51197,Wythe County,Virginia,51,197,49364,2653
2019,0500000US51550,Chesapeake city,Virginia,51,550,78640,2645
2019,0500000US51660,Harrisonburg city,Virginia,51,660,46679,2567
2019,0500000US51003,Albemarle County,Virginia,51,3,79880,2894
2019,0500000US51019,Bedford County,Virginia,51,19,64199,2828
2019,0500000US51029,Buckingham County,Virginia,51,29,49025,3378
2019,0500000US51195,Wise County,Virginia,51,195,38888,2697
2019,0500000US51580,Covington city,Virginia,51,580,40655,3634
2019,0500000US51740,Portsmouth city,Virginia,51,740,52175,1675
2019,0500000US51810,Virginia Beach city,Virginia,51,810,76610,1188
2019,0500000US51005,Alleghany County,Virginia,51,5,47673,3458
2019,0500000US51640,Galax city,Virginia,51,640,33575,2284
2019,0500000US51193,Westmoreland County,Virginia,51,193,53853,3698
2019,0500000US51133,Northumberland County,Virginia,51,133,62632,7771
2019,0500000US51155,Pulaski County,Virginia,51,155,53866,2346
2019,0500000US51187,Warren County,Virginia,51,187,69116,3087
2019,0500000US51590,Danville city,Virginia,51,590,37203,2086
2019,0500000US51630,Fredericksburg city,Virginia,51,630,65641,5784
2019,0500000US51009,Amherst County,Virginia,51,9,52888,2644
2019,0500000US51017,Bath County,Virginia,51,17,49738,6556
2019,0500000US51670,Hopewell city,Virginia,51,670,39030,4278
2019,0500000US51700,Newport News city,Virginia,51,700,53215,1607
2019,0500000US51069,Frederick County,Virginia,51,69,78002,3019
2019,0500000US51680,Lynchburg city,Virginia,51,680,46409,2881
2019,0500000US51199,York County,Virginia,51,199,92069,3645
2019,0500000US51690,Martinsville city,Virginia,51,690,34371,4099
2019,0500000US51125,Nelson County,Virginia,51,125,64313,9548
2019,0500000US51143,Pittsylvania County,Virginia,51,143,47690,1810
2019,0500000US51530,Buena Vista city,Virginia,51,530,32455,10103
2019,0500000US51610,Falls Church city,Virginia,51,610,127610,16144
2019,0500000US51730,Petersburg city,Virginia,51,730,38679,2160
2019,0500000US51735,Poquoson city,Virginia,51,735,97118,4408
2019,0500000US51600,Fairfax city,Virginia,51,600,116979,7777
2019,0500000US51820,Waynesboro city,Virginia,51,820,45011,6218
2019,0500000US51770,Roanoke city,Virginia,51,770,44230,1434
2019,0500000US51800,Suffolk city,Virginia,51,800,74884,2756
2019,0500000US51710,Norfolk city,Virginia,51,710,51590,1086
2019,0500000US51007,Amelia County,Virginia,51,7,57946,6485
2019,0500000US51041,Chesterfield County,Virginia,51,41,82599,1297
2019,0500000US51059,Fairfax County,Virginia,51,59,124831,1281
2020,0500000US51001,Accomack County,Virginia,51,1,46178,2575
2020,0500000US51005,Alleghany County,Virginia,51,5,48513,4275
2020,0500000US51007,Amelia County,Virginia,51,7,63918,6276
2020,0500000US51011,Appomattox County,Virginia,51,11,55457,5246
2020,0500000US51013,Arlington County,Virginia,51,13,122604,2627
2020,0500000US51017,Bath County,Virginia,51,17,55481,15306
2020,0500000US51019,Bedford County,Virginia,51,19,67136,3303
2020,0500000US51023,Botetourt County,Virginia,51,23,72719,4231
2020,0500000US51025,Brunswick County,Virginia,51,25,46111,3642
2020,0500000US51029,Buckingham County,Virginia,51,29,48603,4866
2020,0500000US51031,Campbell County,Virginia,51,31,52319,2195
2020,0500000US51035,Carroll County,Virginia,51,35,44518,3022
2020,0500000US51036,Charles City County,Virginia,51,36,60096,5918
2020,0500000US51037,Charlotte County,Virginia,51,37,40924,4516
2020,0500000US51043,Clarke County,Virginia,51,43,86154,13118
2020,0500000US51045,Craig County,Virginia,51,45,57792,14772
2020,0500000US51049,Cumberland County,Virginia,51,49,50565,8447
2020,0500000US51051,Dickenson County,Virginia,51,51,30116,4017
2020,0500000US51057,Essex County,Virginia,51,57,51125,5221
2020,0500000US51059,Fairfax County,Virginia,51,59,127866,1462
2020,0500000US51063,Floyd County,Virginia,51,63,51250,4673
2020,0500000US51065,Fluvanna County,Virginia,51,65,78885,4581
2020,0500000US51069,Frederick County,Virginia,51,69,80011,3351
2020,0500000US51071,Giles County,Virginia,51,71,57279,3121
2020,0500000US51075,Goochland County,Virginia,51,75,97146,8582
2020,0500000US51077,Grayson County,Virginia,51,77,41558,4019
2020,0500000US51081,Greensville County,Virginia,51,81,49756,5874
2020,0500000US51083,Halifax County,Virginia,51,83,43714,2535
2020,0500000US51087,Henrico County,Virginia,51,87,72295,1863
2020,0500000US51089,Henry County,Virginia,51,89,38511,2064
2020,0500000US51093,Isle of Wight County,Virginia,51,93,77870,5219
2020,0500000US51095,James City County,Virginia,51,95,91675,4509
2020,0500000US51097,King and Queen County,Virginia,51,97,65385,12801
2020,0500000US51099,King George County,Virginia,51,99,96711,6085
2020,0500000US51101,King William County,Virginia,51,101,73284,6077
2020,0500000US51103,Lancaster County,Virginia,51,103,59736,8165
2020,0500000US51105,Lee County,Virginia,51,105,35006,4424
2020,0500000US51107,Loudoun County,Virginia,51,107,147111,3537
2020,0500000US51109,Louisa County,Virginia,51,109,67027,6008
2020,0500000US51111,Lunenburg County,Virginia,51,111,45884,5418
2020,0500000US51113,Madison County,Virginia,51,113,63482,5830
2020,0500000US51115,Mathews County,Virginia,51,115,74489,16802
2020,0500000US51117,Mecklenburg County,Virginia,51,117,50224,2884
2020,0500000US51119,Middlesex County,Virginia,51,119,57060,2970
2020,0500000US51121,Montgomery County,Virginia,51,121,59126,2531
2020,0500000US51125,Nelson County,Virginia,51,125,62203,10320
2020,0500000US51127,New Kent County,Virginia,51,127,97688,10453
2020,0500000US51131,Northampton County,Virginia,51,131,50819,8343
2020,0500000US51133,Northumberland County,Virginia,51,133,59437,6569
2020,0500000US51135,Nottoway County,Virginia,51,135,49983,5315
2020,0500000US51137,Orange County,Virginia,51,137,74446,4522
2020,0500000US51139,Page County,Virginia,51,139,51878,3159
2020,0500000US51141,Patrick County,Virginia,51,141,46941,6316
2020,0500000US51145,Powhatan County,Virginia,51,145,93833,5342
2020,0500000US51147,Prince Edward County,Virginia,51,147,44253,7932
2020,0500000US51149,Prince George County,Virginia,51,149,75123,5629
2020,0500000US51155,Pulaski County,Virginia,51,155,53689,2940
2020,0500000US51157,Rappahannock County,Virginia,51,157,82077,8789
2020,0500000US51161,Roanoke County,Virginia,51,161,70076,1930
2020,0500000US51163,Rockbridge County,Virginia,51,163,54133,4062
2020,0500000US51167,Russell County,Virginia,51,167,38564,4069
2020,0500000US51169,Scott County,Virginia,51,169,41540,2652
2020,0500000US51173,Smyth County,Virginia,51,173,41088,2716
2020,0500000US51175,Southampton County,Virginia,51,175,63034,5660
2020,0500000US51179,Stafford County,Virginia,51,179,112247,3806
2020,0500000US51181,Surry County,Virginia,51,181,56525,4961
2020,0500000US51185,Tazewell County,Virginia,51,185,42207,3080
2020,0500000US51187,Warren County,Virginia,51,187,70109,5763
2020,0500000US51193,Westmoreland County,Virginia,51,193,53790,6784
2020,0500000US51195,Wise County,Virginia,51,195,41285,4656
2020,0500000US51199,York County,Virginia,51,199,93356,2997
2020,0500000US51510,Alexandria city,Virginia,51,510,102227,2530
2020,0500000US51530,Buena Vista city,Virginia,51,530,36634,6924
2020,0500000US51540,Charlottesville city,Virginia,51,540,59598,4877
2020,0500000US51570,Colonial Heights city,Virginia,51,570,60522,5888
2020,0500000US51580,Covington city,Virginia,51,580,41024,4817
2020,0500000US51590,Danville city,Virginia,51,590,37147,2784
2020,0500000US51600,Fairfax city,Virginia,51,600,109708,10496
2020,0500000US51610,Falls Church city,Virginia,51,610,146922,10939
2020,0500000US51630,Fredericksburg city,Virginia,51,630,69528,6038
2020,0500000US51640,Galax city,Virginia,51,640,35184,4709
2020,0500000US51660,Harrisonburg city,Virginia,51,660,49117,2123
2020,0500000US51670,Hopewell city,Virginia,51,670,43262,3530
